Run,BioSample,Sample,Region,Locality,Aligned,Filtered,Coverage,Path,Lineage,DataDir,NewPath,Source
Daly01,Daly01,Daly01,Northern Territory,Daly River,316492070,271334403,58.7496,/home/maccamp/lates-wgs/data/daly/Daly01.sort.flt.bam,AUS,data/daly,data/downsample/Daly01.reduced.bam,New
Daly02,Daly02,Daly02,Northern Territory,Daly River,326046177,283926139,60.2108,/home/maccamp/lates-wgs/data/daly/Daly02.sort.flt.bam,AUS,data/daly,data/downsample/Daly02.reduced.bam,New
Daly03,Daly03,Daly03,Northern Territory,Daly River,250931941,216745151,47.0122,/home/maccamp/lates-wgs/data/daly/Daly03.sort.flt.bam,AUS,data/daly,data/downsample/Daly03.reduced.bam,New
Daly04,Daly04,Daly04,Northern Territory,Daly River,228200523,200254294,43.2608,/home/maccamp/lates-wgs/data/daly/Daly04.sort.flt.bam,AUS,data/daly,data/downsample/Daly04.reduced.bam,New
Daly05,Daly05,Daly05,Northern Territory,Daly River,358110468,308080850,66.6556,/home/maccamp/lates-wgs/data/daly/Daly05.sort.flt.bam,AUS,data/daly,data/downsample/Daly05.reduced.bam,New
Daly06,Daly06,Daly06,Northern Territory,Daly River,288183066,246600489,53.1609,/home/maccamp/lates-wgs/data/daly/Daly06.sort.flt.bam,AUS,data/daly,data/downsample/Daly06.reduced.bam,New
Daly07,Daly07,Daly07,Northern Territory,Daly River,302850614,258326860,55.7428,/home/maccamp/lates-wgs/data/daly/Daly07.sort.flt.bam,AUS,data/daly,data/downsample/Daly07.reduced.bam,New
Daly08,Daly08,Daly08,Northern Territory,Daly River,277003928,240831949,52.1401,/home/maccamp/lates-wgs/data/daly/Daly08.sort.flt.bam,AUS,data/daly,data/downsample/Daly08.reduced.bam,New
Roper02,Roper02,Roper02,Northern Territory,Roper River,305214628,237233317,49.1359,/home/maccamp/lates-wgs/data/daly/Roper02.sort.flt.bam,AUS,data/roper,data/downsample/Roper02.reduced.bam,New
Roper07,Roper07,Roper07,Northern Territory,Roper River,240383448,192310744,39.667,/home/maccamp/lates-wgs/data/daly/Roper07.sort.flt.bam,AUS,data/roper,data/downsample/Roper07.reduced.bam,New
Roper08,Roper08,Roper08,Northern Territory,Roper River,218701103,172576592,35.7122,/home/maccamp/lates-wgs/data/daly/Roper08.sort.flt.bam,AUS,data/roper,data/downsample/Roper08.reduced.bam,New
Roper09,Roper09,Roper09,Northern Territory,Roper River,209993253,163360453,33.7983,/home/maccamp/lates-wgs/data/daly/Roper09.sort.flt.bam,AUS,data/roper,data/downsample/Roper09.reduced.bam,New
Roper10,Roper10,Roper10,Northern Territory,Roper River,220737088,177538875,36.7153,/home/maccamp/lates-wgs/data/daly/Roper10.sort.flt.bam,AUS,data/roper,data/downsample/Roper10.reduced.bam,New
Fitz01,Fitz01,FitzroyQLD,Queensland,Fitzroy River QLD,214727062,197376262,43.1526,/home/maccamp/lates-wgs/data/fitzroy/Fitz01.sort.flt.bam,AUS,data/fitzroy,data/downsample/Fitz01.reduced.bam,New
Fitz02,Fitz02,FitzroyQLD,Queensland,Fitzroy River QLD,210632957,193219087,42.2969,/home/maccamp/lates-wgs/data/fitzroy/Fitz02.sort.flt.bam,AUS,data/fitzroy,data/downsample/Fitz02.reduced.bam,New
Fitz03,Fitz03,FitzroyQLD,Queensland,Fitzroy River QLD,184729485,170882159,37.2926,/home/maccamp/lates-wgs/data/fitzroy/Fitz03.sort.flt.bam,AUS,data/fitzroy,data/downsample/Fitz03.reduced.bam,New
Fitz04,Fitz04,FitzroyQLD,Queensland,Fitzroy River QLD,171859885,159473337,34.8281,/home/maccamp/lates-wgs/data/fitzroy/Fitz04.sort.flt.bam,AUS,data/fitzroy,data/downsample/Fitz04.reduced.bam,New
Fitz05,Fitz05,FitzroyQLD,Queensland,Fitzroy River QLD,207408151,190022508,41.5087,/home/maccamp/lates-wgs/data/fitzroy/Fitz05.sort.flt.bam,AUS,data/fitzroy,data/downsample/Fitz05.reduced.bam,New
Fitz06,Fitz06,FitzroyQLD,Queensland,Fitzroy River QLD,190952857,175877495,38.4533,/home/maccamp/lates-wgs/data/fitzroy/Fitz06.sort.flt.bam,AUS,data/fitzroy,data/downsample/Fitz06.reduced.bam,New
Fitz07,Fitz07,FitzroyQLD,Queensland,Fitzroy River QLD,201784406,184807354,40.44,/home/maccamp/lates-wgs/data/fitzroy/Fitz07.sort.flt.bam,AUS,data/fitzroy,data/downsample/Fitz07.reduced.bam,New
Fitz08,Fitz08,FitzroyQLD,Queensland,Fitzroy River QLD,218928717,201067584,43.9234,/home/maccamp/lates-wgs/data/fitzroy/Fitz08.sort.flt.bam,AUS,data/fitzroy,data/downsample/Fitz08.reduced.bam,New
Fitz09,Fitz09,FitzroyQLD,Queensland,Fitzroy River QLD,212292704,193840062,42.342,/home/maccamp/lates-wgs/data/fitzroy/Fitz09.sort.flt.bam,AUS,data/fitzroy,data/downsample/Fitz09.reduced.bam,New
Fitz10,Fitz10,FitzroyQLD,Queensland,Fitzroy River QLD,178106206,164999646,35.3562,/home/maccamp/lates-wgs/data/fitzroy/Fitz10.sort.flt.bam,AUS,data/fitzroy,data/downsample/Fitz10.reduced.bam,New
Fitz11,Fitz11,FitzroyQLD,Queensland,Fitzroy River QLD,209984474,192614333,42.0989,/home/maccamp/lates-wgs/data/fitzroy/Fitz11.sort.flt.bam,AUS,data/fitzroy,data/downsample/Fitz11.reduced.bam,New
Fitz12,Fitz12,FitzroyQLD,Queensland,Fitzroy River QLD,193808212,179158375,38.6273,/home/maccamp/lates-wgs/data/fitzroy/Fitz12.sort.flt.bam,AUS,data/fitzroy,data/downsample/Fitz12.reduced.bam,New
Tully01,Tully01,Tully01,Queensland,Tully Inlet,307278328,201276355,43.2839,/home/maccamp/lates-wgs/data/pilbara/Tully01.sort.flt.bam,AUS,data/pilbara,data/downsample/Tully01.reduced.bam,New
Tully02,Tully02,Tully02,Queensland,Tully Inlet,409853620,318224770,60.0631,/home/maccamp/lates-wgs/data/pilbara/Tully02.sort.flt.bam,AUS,data/pilbara,data/downsample/Tully02.reduced.bam,New
WAF011635,WAF011635,WAF011635,Western Australia,DeGrey River,254351248,171030131,36.5896,/home/maccamp/lates-wgs/data/pilbara/WAF011635.sort.flt.bam,AUS,data/pilbara,data/downsample/WAF011635.reduced.bam,New
WAF011636,WAF011636,WAF011636,Western Australia,DeGrey River,317841120,210215908,45.1926,/home/maccamp/lates-wgs/data/pilbara/WAF011636.sort.flt.bam,AUS,data/pilbara,data/downsample/WAF011636.reduced.bam,New
WAF011637,WAF011637,WAF011637,Western Australia,DeGrey River,259659206,175944195,37.4896,/home/maccamp/lates-wgs/data/pilbara/WAF011637.sort.flt.bam,AUS,data/pilbara,data/downsample/WAF011637.reduced.bam,New
WAF011638,WAF011638,WAF011638,Western Australia,DeGrey River,312442162,215821296,46.1992,/home/maccamp/lates-wgs/data/pilbara/WAF011638.sort.flt.bam,AUS,data/pilbara,data/downsample/WAF011638.reduced.bam,New
WAF011653,WAF011653,WAF011653,Western Australia,DeGrey River,292020516,193926027,41.6554,/home/maccamp/lates-wgs/data/pilbara/WAF011653.sort.flt.bam,AUS,data/pilbara,data/downsample/WAF011653.reduced.bam,New
SRR3165613,SAMN04482556,SRS1284056,Indonesia-K,Samarinda,33294808,31924152,4.73449,data/split/SRR3165613.sort.flt.bam,WAL,NA,data/split/SRR3165613.sort.flt.bam,Existing
SRR3165614,SAMN04482557,SRS1284057,Indonesia-K,Samarinda,36112330,35209985,5.22582,data/split/SRR3165614.sort.flt.bam,WAL,NA,data/split/SRR3165614.sort.flt.bam,Existing
SRR3165615,SAMN04482558,SRS1284058,Indonesia-K,Samarinda,39202344,38378631,5.69962,data/split/SRR3165615.sort.flt.bam,WAL,NA,data/split/SRR3165615.sort.flt.bam,Existing
SRR3165616,SAMN04482559,SRS1284059,Indonesia-K,Samarinda,44105489,43004573,6.38517,data/split/SRR3165616.sort.flt.bam,WAL,NA,data/split/SRR3165616.sort.flt.bam,Existing
SRR3165617,SAMN04482560,SRS1284060,Indonesia-K,Samarinda,45680431,44616925,6.62419,data/split/SRR3165617.sort.flt.bam,WAL,NA,data/split/SRR3165617.sort.flt.bam,Existing
SRR3165612,SAMN04482555,SRS1284055,Indonesia-SU,Sulawesi,43210183,41319274,6.13043,data/split/SRR3165612.sort.flt.bam,WAL,NA,data/split/SRR3165612.sort.flt.bam,Existing
WJC9162,WJC9162,WJC9162,Taiwan,Tamsui River,213111602,186681215,32.3199,/home/maccamp/lates-wgs/data/taiwan/WJC9162.sort.flt.bam,SEA,data/taiwan,data/downsample/WJC9162.reduced.bam,New
WJC9163,WJC9163,WJC9163,Taiwan,Tamsui River,257583247,206746033,33.895,/home/maccamp/lates-wgs/data/taiwan/WJC9163.sort.flt.bam,SEA,data/taiwan,data/downsample/WJC9163.reduced.bam,New
WJC9164,WJC9164,WJC9164,Taiwan,Tamsui River,273269251,225916495,35.5161,/home/maccamp/lates-wgs/data/taiwan/WJC9164.sort.flt.bam,SEA,data/taiwan,data/downsample/WJC9164.reduced.bam,New
WJC9166,WJC9166,WJC9166,Taiwan,Tamsui River,230103711,197931232,31.6638,/home/maccamp/lates-wgs/data/taiwan/WJC9166.sort.flt.bam,SEA,data/taiwan,data/downsample/WJC9166.reduced.bam,New
WJC9187,WJC9187,WJC9187,Taiwan,Tamsui River,258073205,221004084,36.3827,/home/maccamp/lates-wgs/data/taiwan/WJC9187.sort.flt.bam,SEA,data/taiwan,data/downsample/WJC9187.reduced.bam,New
WJC9196,WJC9196,WJC9196,Taiwan,Tamsui River,210898335,179593199,28.9462,/home/maccamp/lates-wgs/data/taiwan/WJC9196.sort.flt.bam,SEA,data/taiwan,data/downsample/WJC9196.reduced.bam,New
WJC9556,WJC9556,WJC9556,Taiwan,Tamsui River,212286744,179789424,30.58,/home/maccamp/lates-wgs/data/taiwan/WJC9556.sort.flt.bam,SEA,data/taiwan,data/downsample/WJC9556.reduced.bam,New
WJC9558,WJC9558,WJC9558,Taiwan,Tamsui River,182258858,160381793,27.9758,/home/maccamp/lates-wgs/data/taiwan/WJC9558.sort.flt.bam,SEA,data/taiwan,data/downsample/WJC9558.reduced.bam,New
WJC9559,WJC9559,WJC9559,Taiwan,Tamsui River,213454180,176211095,29.0693,/home/maccamp/lates-wgs/data/taiwan/WJC9559.sort.flt.bam,SEA,data/taiwan,data/downsample/WJC9559.reduced.bam,New
WJC9560,WJC9560,WJC9560,Taiwan,Tamsui River,341617052,275059504,42.7225,/home/maccamp/lates-wgs/data/taiwan/WJC9560.sort.flt.bam,SEA,data/taiwan,data/downsample/WJC9560.reduced.bam,New
WJC9188,WJC9188,WJC9188,Taiwan,Tamsui River,207927816,175269565,27.8819,/home/maccamp/lates-wgs/data/taiwan/WJC9188.sort.flt.bam,SEA,data/taiwan,data/downsample/WJC9188.reduced.bam,New
