Run,Region,Lineage,Path,DataType
SRR3165618,Northern Territory,AUS+NG,data/split/SRR3165618.sort.flt.bam,WGS
SRR3165619,Northern Territory,AUS+NG,data/split/SRR3165619.sort.flt.bam,WGS
SRR3165620,Northern Territory,AUS+NG,data/split/SRR3165620.sort.flt.bam,WGS
SRR3165621,Northern Territory,AUS+NG,data/split/SRR3165621.sort.flt.bam,WGS
SRR3165622,Northern Territory,AUS+NG,data/split/SRR3165622.sort.flt.bam,WGS
SRR3165623,Northern Territory,AUS+NG,data/split/SRR3165623.sort.flt.bam,WGS
SRR3165629,Queensland,AUS+NG,data/split/SRR3165629.sort.flt.bam,WGS
SRR3165630,Queensland,AUS+NG,data/split/SRR3165630.sort.flt.bam,WGS
SRR3165631,Queensland,AUS+NG,data/split/SRR3165631.sort.flt.bam,WGS
SRR3165632,Queensland,AUS+NG,data/split/SRR3165632.sort.flt.bam,WGS
SRR3165633,Queensland,AUS+NG,data/split/SRR3165633.sort.flt.bam,WGS
SRR3165634,Queensland,AUS+NG,data/split/SRR3165634.sort.flt.bam,WGS
SRR3165594,India Eastern Coast,IND,data/split/SRR3165594.sort.flt.bam,WGS
SRR3165595,India Eastern Coast,IND,data/split/SRR3165595.sort.flt.bam,WGS
SRR3183253,India Eastern Coast,IND,data/split/SRR3183253.sort.flt.bam,WGS
SRR3183255,India Eastern Coast,IND,data/split/SRR3183255.sort.flt.bam,WGS
SRR3183256,India Eastern Coast,IND,data/split/SRR3183256.sort.flt.bam,WGS
SRR3183257,India Eastern Coast,IND,data/split/SRR3183257.sort.flt.bam,WGS
SRR3183258,India Western Coast,IND,data/split/SRR3183258.sort.flt.bam,WGS
SRR3183259,India Western Coast,IND,data/split/SRR3183259.sort.flt.bam,WGS
SRR3183260,India Western Coast,IND,data/split/SRR3183260.sort.flt.bam,WGS
SRR3183261,India Western Coast,IND,data/split/SRR3183261.sort.flt.bam,WGS
SRR3165613,Indonesia-K,SEA,data/split/SRR3165613.sort.flt.bam,WGS
SRR3165614,Indonesia-K,SEA,data/split/SRR3165614.sort.flt.bam,WGS
SRR3165615,Indonesia-K,SEA,data/split/SRR3165615.sort.flt.bam,WGS
SRR3165616,Indonesia-K,SEA,data/split/SRR3165616.sort.flt.bam,WGS
SRR3165617,Indonesia-K,SEA,data/split/SRR3165617.sort.flt.bam,WGS
SRR3183267,Indonesia-SJ,SEA,data/split/SRR3183267.sort.flt.bam,WGS
SRR3183268,Indonesia-SJ,SEA,data/split/SRR3183268.sort.flt.bam,WGS
SRR3183269,Indonesia-SJ,SEA,data/split/SRR3183269.sort.flt.bam,WGS
SRR3183270,Indonesia-SJ,SEA,data/split/SRR3183270.sort.flt.bam,WGS
SRR3183271,Indonesia-SJ,SEA,data/split/SRR3183271.sort.flt.bam,WGS
SRR3165612,Indonesia-SU,SEA,data/split/SRR3165612.sort.flt.bam,WGS
SRR3165598,Cambodia,SEA,data/split/SRR3165598.sort.flt.bam,WGS
SRR3165599,Cambodia,SEA,data/split/SRR3165599.sort.flt.bam,WGS
SRR3165600,Cambodia,SEA,data/split/SRR3165600.sort.flt.bam,WGS
SRR3165601,Cambodia,SEA,data/split/SRR3165601.sort.flt.bam,WGS
SRR3165602,Cambodia,SEA,data/split/SRR3165602.sort.flt.bam,WGS
SRR3165624,Papua New Guinea,AUS+NG,data/split/SRR3165624.sort.flt.bam,WGS
SRR3165625,Papua New Guinea,AUS+NG,data/split/SRR3165625.sort.flt.bam,WGS
SRR3165626,Papua New Guinea,AUS+NG,data/split/SRR3165626.sort.flt.bam,WGS
SRR3165627,Papua New Guinea,AUS+NG,data/split/SRR3165627.sort.flt.bam,WGS
