Location	Latitude	Longitude
Broome	-18.030181628643657	122.43459358002023
Fitzroy	-17.4275	123.564444
Dampier	-16.727849921426536	122.77557633894678
Drysdale	-14.23953296933354	126.60836210544268
Mitchell/Lawley	-14.465750974215762	125.791269666899
King George	-13.978550332015214	127.34056479486445
